Echantillon	GI_oncoscanR	GI_CGHcall	GI_rCGH	GI_ASCAT
1-RV	& 2.00 & 	6.25 & 	8.00 & 	11.1111111111111
2-AD	& 13.4444444444444 & 	18.7777777777778 & 	7.00 & 	23.2727272727273
3-ES	& 26.2727272727273 & 	18.00 & 	14.4 & 	69.1363636363636
4-GM	& 4.00 & 	11.5714285714286 & 	1.00 & 	10.125
5-LD	& 5.00 & 	18.7777777777778 & 	16.6666666666667 & 	25.6
6-VJ	& 7.2 & 	53.7777777777778 & 	36.5714285714286 & 	62.5
7-DG	& 24.1428571428571 & 	17.8181818181818 & 	13.4444444444444 & 	21.3333333333333
8-MM	& 1.00 & 	6.25 & 	4.00 & 	13.5
9-LA	& 2.00 & 	35.5789473684211 & 	8.33333333333333 & 	5.00
10-CB	& 2.00 & 	42.8571428571429 & 	12.00 & 	9.14285714285714
11-BG	& 12.00 & 	36.125 & 	24.1428571428571 & 	32.4
12-BC	& 0.00 & 	55.125 & 	42.6666666666667 & 	46.2857142857143
13-VT	& 6.25 & 	82.2857142857143 & 	80.6666666666667 & 	105.125
14-CJ	& 13.4444444444444 & 	8.00 & 	0.00 & 	13.4444444444444
15-GG	& 10.6666666666667 & 	24.1428571428571 & 	20.1666666666667 & 	22.2307692307692
16-DD	& 10.6666666666667 & 	13.5 & 	7.2 & 	15.125
17-VV	& 8.33333333333333 & 	11.1111111111111 & 	8.33333333333333 & 	395.529411764706
18-JA	& 4.00 & 	21.125 & 	24.00 & 	21.7777777777778
19-BF	& 9.14285714285714 & 	9.00 & 	7.00 & 	44.0833333333333
20-CJ	& 6.25 & 	21.125 & 	13.5 & 	10.125
21-DC	& 1.00 & 	16.6666666666667 & 	9.8 & 	7.2
