GI_ASCAT	GI_Agilent	GI_Agilent_alternatif	nbAlter_ASCAT	nbChr_ASCAT	runTime_ASCAT	nbAlter_CGHcall	nbChr_CGHcall	runTime_CGHcall	nbAlter_rCGH	nbChr_rCGH	runTime_rCGH	nbAlter_oncoscanR	nbChr_oncoscanR	runTime_oncoscanR	estimPurity_ASCAT	purity_HES	GI_oncoscanR	GI_CGHcall
11.1111111111111	2	NA	10,00	9,00	97.55	5	4	24.76	4,00	2,00	19.2	2	2	3.77	0.88	90	2	6.25
23.2727272727273	9.14	NA	16,00	11,00	34.02	13	9	27.1	7,00	7,00	22.54	11	9	8.8	0.86	90	13.4444444444444	18.7777777777778
69.1363636363636	15	25	39,00	22,00	30.87	12	8	24.38	12,00	10,00	27.46	17	11	19.95	0.69	90	26.2727272727273	18
10.125	4	NA	9,00	8,00	35.28	9	7	24.27	1,00	1,00	20.41	4	4	3.42	0.65	90	4	11.5714285714286
25.6	9.1	NA	16,00	10,00	36.29	13	9	24.76	10,00	6,00	22.71	5	5	3.12	0.83	90	5	18.7777777777778
62.5	20.6	NA	25,00	10,00	33.84	22	9	24.52	16,00	7,00	23.75	6	5	5.23	0.78	80	7.2	53.7777777777778
21.3333333333333	24.1	NA	16,00	12,00	35.8	14	11	24.99	11,00	9,00	21.55	13	7	6.49	1,00	90	24.1428571428571	17.8181818181818
13.5	1	NA	9,00	6,00	36.77	5	4	25.01	2,00	1,00	17.7	1	1	0.52	0.63	80	1	6.25
5,00	2	NA	5,00	5,00	40.28	26	19	26.01	5,00	3,00	22.99	2	2	1.36	0.88	90	2	35.5789473684211
9.14285714285714	3	NA	8,00	7,00	38.07	30	21	25.96	6,00	3,00	19.69	2	2	1.64	0.89	80	2	42.8571428571429
32.4	36	NA	18,00	10,00	40.21	17	8	26.57	13,00	7,00	19.62	6	3	6.94	0.82	80	12	36.125
46.2857142857143	39.2	NA	18,00	7,00	33.54	21	8	33.26	16,00	6,00	24.48	0	0	2.77	0.86	90	0	55.125
105.125	60	NA	29,00	8,00	39.47	24	7	27.52	22,00	6,00	26.69	5	4	10.13	0.88	80	6.25	82.2857142857143
13.4444444444444	9.14	NA	11,00	9,00	35.64	8	8	24.37	0,00	0,00	23.63	11	9	5.5	0.7	80	13.4444444444444	8
22.2307692307692	10.6	NA	17,00	13,00	36.3	13	7	27.36	11,00	6,00	31.73	8	6	4.1	0.5	80	10.6666666666667	24.1428571428571
15.125	10.6	NA	11,00	8,00	35.33	9	6	25.66	6,00	5,00	28.59	8	6	7.91	0.87	90	10.6666666666667	13.5
395.529411764706	12.8	NA	82,00	17,00	32.67	10	9	34.14	5,00	3,00	23.56	5	3	13.94	1,00	80	8.33333333333333	11.1111111111111
21.7777777777778	13.5	8.16	14,00	9,00	37.14	13	8	23.34	12,00	6,00	19.26	4	4	4.44	0.56	100	4	21.125
44.0833333333333	9.14	NA	23,00	12,00	33.54	9	9	26.95	7,00	7,00	19.87	8	7	4.62	0.4	95	9.14285714285714	9
10.125	7.2	NA	9,00	8,00	40.03	13	8	28.76	9,00	6,00	23.71	5	4	8.62	0.83	80	6.25	21.125
7.2	1	NA	6,00	5,00	38.36	10	6	26.14	7,00	5,00	23.82	1	1	0.55	0.88	80	1	16.6666666666667
